sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Login,150,12149,282,76847,13574.1058,0,1.23296454,2.768406748,2299.213333
Login Page,399,7500,115,72098,11669.7141,0.010025063,3.454994155,10.21434399,3027.353383
Signup,147,4690,66,9193,1322.809814,0,1.260666352,3.152897,2561
Post the Tweet,150,8550,689,16769,2935.869974,0,1.22851129,2.850002227,2375.56
View our Tweets,150,4157,56,5723,1551.235095,0,1.23337006,3.598485627,2987.626667
Create User,147,14234,2229,20339,3048.19814,0,1.229569901,3.044918836,2535.843537
Logout,150,11455,465,17406,4554.144863,0,1.23878896,3.076035576,2542.693333
TOTAL,1293,8678,56,76847,8874.264729,0.003093581,10.49402255,27.64453439,2697.535963
