sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Login,150,15463,236,83652,15999.44656,0.006666667,1.018786422,2.348196578,2360.213333
Login Page,397,9671,246,77283,13381.52509,0.012594458,2.845368214,8.641183536,3109.816121
Signup,148,5952,452,12597,1341.393441,0,1.046365295,2.616935078,2561
Post the Tweet,149,10417,766,25290,4163.982615,0,1.00836469,2.328889151,2365
View our Tweets,149,5542,322,12999,2294.789724,0,1.012806221,2.92962112,2962
Create User,148,17641,3397,27060,4171.892153,0,1.025015929,2.535513036,2533
Logout,149,13757,521,25254,5757.471981,0,1.019521441,2.521921689,2533
TOTAL,1290,10914,236,83652,10426.36243,0.004651163,8.663067129,23.04328244,2723.783721
